,toxic,non-toxic
516334,"But if it turns out that this party's bullshit, what are you gonna do?","but if he turns out to be the party, what will you do?"
75113,"Well, hurry now, before I make a fool of myself.",so hurry up before I embarrass myself in front of everybody.
170914,Are you deaf and dumb?,are you deaf or mute?
190619,"so who wants to fuck you now, Nina?","So, who do you want to bang-chung these days, Nina?"
353635,he's crazy!,He's mad!
19713,"A wicked man, Captain Hastings.","he was a bad man, Captain Hastings."
507677,"""What not to do when one wants to get some ass"".","""what not to do if you want to pick someone."""
560827,Look what that bastard did with my car.,look what he did to my car!
276132,training sucks.,"Training, shmaining."
64064,I bet the one you're wearing stinks pretty bad.,I bet the one you're wearing right now is pretty bad.
99363,''All die.'',"""everyone dies."""
341714,Shit. He wants to get his picture on paper.,"hell, I'm sure he wants to get his picture in the newspaper."
264596,"He fell to the floor, half stunned for the moment, breathing heavily and blinking his eyes in a stupid sort of way.","he fell to the floor for a moment, panting heavily, his eyes blinking."
502002,"With the high voice of the black man riding above the others, no head falsetto here but complete, out of the honest breast, a baritone voice brought over years of woodshedding up to this range ... he was bringing brown girls to sashay among these nervous Protestants, down the ancient paths the music had set, Big and Little Anita, Stiletto May, Plongette who loves it between her tits and will do it that way for free—not to mention the Latin, the German? in an English church?","the tall voice of a black man is hovering over others who don't abhor the head's falsehood, but full barytons emanating from honest roughness, which, for their current range, owe the long rockers the pinch of firewood... taught among these nervous Protestants the brown girls graceful walking, along the ancient trails that set the music, Great and Little Anita, Stiletto May Plongett, what does she like among the breasts, for free - not to mention Latin and German?"
560582,American puppet!,Yankee puppets!
183847,Ow. I thought you weren't even allowed to watch a lot of TV in your house 'cause you're all Christian and shit.,I thought you couldn't watch TV when you were religious and everything.
290810,we wouldn't have to shoot them.,We wouldn't necessarily have to fire at them.
388907,"you're not saying... - I'm sorry, but I just can't take the fool into God, you know that.",I'm sorry. I can't stand the God freaks. You know that.
231724,"and I know talent when I see it, Ben, and I don't want to see you die when you get here.","I know real talent... when I see it, Ben, and I'd hate to see you get canceled tonight... when you could go the distance."
41256,"Get off me, man.",get away from me.
459063,You deal fucking coke?,you do cocaine?
60305,She's been shot! Fuck.,they shot her!
165172,"Caleb, open the door, man. Shit!","Calobe, open the door!"
382024,The chief says we fucked up...,the chief says we screwed up.
370744,"If convicted under the nation's draconian drug laws, he faces the death penalty.","if convicted, he is expected to be sentenced on the basis of the country's draconian anti-drug laws."
396653,"So'm I, but I come here to have my say, and I've had it―every damn word of it, and every word is true.","I'm finished, too, but I've come to tell you everything, which I did, too - to the last word, and every word is true."
499495,And he drank this tea that smelled like cigarettes and I just found him completely disgusting.,"and he drank tea, what he smelled like cigarettes and started to loathe me."
261894,"Can't dance worth a shit, but you can draw.","you can't dance at all, but paint it."
228655,"Look here, goddamn it!",look over here!
369521,I caught him with some slut.,I caught him with a runner.
463800,we send them to get shot and then we kick them off when they come home.,"We send these guys overseas to get shot at, and they get tangled up in red tape when they come home."
559847,you animal!,Animal!
506805,you're more of a spider.,More like a trap-door spider.
136790,A fucking innocent German officer?,an innocent German official?
42703,"We know that the Spacers, have robots, depend on them, go nowhere without them, can't do a thing without them, are parasites on them, and we're sure they're fading away because of them.","we know that Spacers have robots that they depend on them, they don't go without them, they can't do anything without them, they parasite on them."
108404,How can you go out with her if she thinks you've got a girlfriend?You twat!,you think she's gonna go out with you if she thinks you have a girlfriend?
49019,"""fuck off,"" Tanda said.","""Ughh,"" Tanda said."
3216,not with the fart on your hands.,Not with a ring on your finger.
87916,You haul my ass out into the middle of nowhere... and expect me to just jump on the first plane back?,you pull the plug on the set and you expect me to go home on my first plane?
496526,you want me to wash the floor with my tongue?,Wash the floor with my tongue?
17324,Fuck me!,hell of a job!
297604,he's probably playing in the back with his chicken nipples.,He must be judging the chicken nipples inappropriately also.
468365,'she tried to kill him.,"""It tried to kill him."
489860,"you want to race me, fatass?","440? Do you want to race me, beefy boy?"
460863,Just because your wife dumped you... Butt out!,just because your wife left you...... doesn't have to be all the same.
326314,what the hell is going on with you?,What's wrong with you?
57815,"Fuck, some men like it.",some men like that.
200189,"I knew it all along, you morons.",I knew it all along.
3971,"kill them, these snakes.",Lethal these snakes.
316521,Your girlfriend's out to screw you.,your girl's out there cheating on you.
62701,"damn, we almost had him.","Dadgum it, we almost had him, too."
238384,I might scratch her.,I could scratch it.
97833,"I'll find that bastard, I'll prove Bobby's innocent, and I'll show you the true meaning of loyalty.","And when I do, I'm gonna prove Bobby innocent and show you exactly what loyalty looks like."
443543,"I have such pain, she's so crazy...",I've such a pain that it's insane
320539,at dawn the Hebalon will be the winner and they will be burned to the ground.,"By dawn, Hebalon will be victorious and they will be ashes."
394368,"Well you're not helping yourself with your father's scumbag friend, Lanano.","well, you're making a mistake with your father's friend Lanana."
158742,Don't apologize. - Fuck.,don't be sorry.
506919,"""that's bullshit, folks,"" he said finally, and started off on the beach.","Then he went, ""This is bogus, man,"" and started stalking off down the beach."
306502,I don't believe it. How the fuck do you talk to me?,I don't believe it. Are you gonna seriously sit here and talk to me?
315254,How dumb do these morons have to be to think they're gonna get a plane?,do they really think they're going to get a plane?
74243,Go hit on her.,go to her.
500987,"Some bloody mate he turned out to be, eh?","he turned out pretty fucking cool, huh?"
537415,everybody shut up.,"All ofyou, quiet !"
55231,"oh my brothers, you won't believe me... your faithful friend and long suffering narrator..... .That you have earned your sword..... .And ate the tongue... And ate the filthy, smelly boot.","And, O my brothers, would you believe... ...your faithful friend and long-suffering narrator... ...pushed out his red yabzick a mile and a half... ...to lick the grahzny, vonny boots."
